SN,Name,Symbol,Status,Sector,Instrument,Email,Website
29,Butwal Power Company Limited,BPCL,Active,Hydro Power,Equity,hari.budhathoki@bpc.com.np,http://www.bpc.com.np
30,BPW Laghubitta Bittiya Sanstha Limited,BPW,Active,Microfinance,Equity,bpwlaghubitta@gmail.com,www.bpwlaghubitta.com.np
31,Citizens Super 30 Mutual Fund,C30MF,Active,Commercial Banks,Mutual Funds,rajendra.shrestha@ctznbank.com,www.ctznbank.com
32,Chhimek Laghubitta Bittiya Sanstha Limited,CBBL,Active,Microfinance,Equity,info@chhimekbank.org,
33,Civil Bank Debenture 2088,CBLD88,Active,Commercial Banks,Non-Convertible Debentures,hirakaji.basnet@civilbank.com.np,
34,Century Debenture 2088,CCBD88,Active,Commercial Banks,Non-Convertible Debentures,welcome@centurybank.com.np,
35,Central Finance Co. Ltd.,CFCL,Active,Finance,Equity,info@centralfinance.com.np,
36,Chandragiri Hills Limited,CGH,Active,Hotels And Tourism,Equity,jhalak.sharma@chandragirihills.com,www.chandragirihills.com
37,Chilime Hydropower Company Limited,CHCL,Active,Hydro Power,Equity,narayanprasad.acharya@chilime.com.np,
38,CEDB Hydropower Development Company Limited,CHDC,Active,Investment,Equity,chf@chf.com.np,www.chdc.com.np
39,Chhyangdi Hydropower Ltd.,CHL,Active,Hydro Power,Equity,chhyangdihydropowerltd@gmail.com,
40,Citizen Investment Trust,CIT,Active,Investment,Equity,cit.cmkt@gmail.com,
41,City Hotel Limited,CITY,Active,Hotels And Tourism,Equity,info@cityhotel.com.np,https://cityhotel.com.np/
42,10.25% Citizens Bank Debenture 2086,CIZBD86,Active,Commercial Banks,Non-Convertible Debentures,rajendra.shrestha@ctznbank.com,www.ctznbank.com
43,Citizens Mutual Fund -1,CMF1,Active,Commercial Banks,Mutual Funds,rajendra.shrestha@ctznbank.com,www.ctznbank.com
44,CITIZENS MUTUAL FUND 2,CMF2,Active,Mutual Fund,Mutual Funds,info@cbilcapital.com,www.cbilcapital.com
45,Corporate Development Bank Limited,CORBL,Active,Development Banks,Equity,info@corporatebank.com.np,
46,CYC Nepal Laghubitta Bittiya Sanstha Limited,CYCL,Active,Microfinance,Equity,info@cycnlbsl.org.np,www.cycnlbsl.org.np
47,Citizens Bank International Limited,CZBIL,Active,Commercial Banks,Equity,rajendra.shrestha@ctznbank.com,www.ctznbank.com
48,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,Active,Microfinance,Equity,ddbl@ddbank.org.np,
49,Dibyashwori Hydropower Ltd.,DHPL,Active,Hydro Power,Equity,dibyashwarihydropower@gmail.com,
50,Dolti Power Company Limited,DOLTI,Active,Hydro Power,Equity,info@doltipower.com.np,www.doltipower.org.np
51,Dordi Khola Jal Bidyut Company Limited,DORDI,Active,Hydro Power,Equity,info@dordikhola.com.np,www.dordikhola.com.np
52,Everest Bank Limited,EBL,Active,Commercial Banks,Equity,sharedept@ebl.com.np,
53,10.50% Everest Bank Limited Debenture 2085,EBLD85,Active,Commercial Banks,Non-Convertible Debentures,sharedept@ebl.com.np,
54,Everest Bank Limited,EBLD86,Active,Commercial Banks,Non-Convertible Debentures,sharedept@ebl.com.np,
55,"Everest Bank Limited Energy Bond, 2089",EBLEB89,Active,Commercial Banks,Non-Convertible Debentures,sharedept@ebl.com.np,
56,Excel Development Bank Ltd.,EDBL,Active,Development Banks,Equity,info@edb.com.np,
57,Eastern Hydropower Limited,EHPL,Active,Hydro Power,Equity,pikhuwakhola5@gmail.com,www.ehpl.com.np
58,Emerging Nepal Limited,ENL,Active,Investment,Equity,mail@emergingnep.com,https://www.emergingnep.com
59,First Micro Finance Laghubitta Bittiya Sanstha Limited,FMDBL,Active,Microfinance,Equity,bijay@fmdb.com.np,
60,Forward Microfinance Laghubitta Bittiya Sanstha Limited,FOWAD,Active,Microfinance,Equity,info@forwardmfbank.com.np,
61,"Garima Debenture, 2085",GBBD85,Active,Development Banks,Non-Convertible Debentures,info@garimabank.com.np,
62,Garima Bikas Bank Limited,GBBL,Active,Development Banks,Equity,info@garimabank.com.np,
63,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,GBD80/81,Active,Commercial Banks,Non-Convertible Debentures,nlisting@gibl.com.np,http://www.globalimebank.com
64,"Global IME Bank Debenture, 2084/85",GBILD84/85,Active,Commercial Banks,Non-Convertible Debentures,nlisting@gibl.com.np,http://www.globalimebank.com
65,Global IME Bank Limited Debenture 2086/87,GBILD86/87,Active,Commercial Banks,Non-Convertible Debentures,nlisting@gibl.com.np,http://www.globalimebank.com
66,Global IME Bank Limited,GBIME,Active,Commercial Banks,Equity,nlisting@gibl.com.np,http://www.globalimebank.com
67,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,GBLBS,Active,Microfinance,Equity,info@gblbs.com.np,http://www.grameenbanknepal.com
68,Ghorahi Cement Industry Limited,GCIL,Active,Manufacturing And Processing,Equity,enquiry@ghorahicement.com,www.ghorahicement.com.np
69,Goodwill Finance Limited,GFCL,Active,Finance,Equity,info@goodwill.net.np,https://goodwillfinance.com.np/
70,Ghalemdi Hydro Limited,GHL,Active,Hydro Power,Equity,relinarenergy@gmail.com,www.ghalemdi.com
71,Global IME Balanced Fund-1,GIBF1,Active,Mutual Fund,Mutual Funds,gimeb1@gicl.com.np,www.globalimecapital.com
72,Global IME Laghubitta Bittiya Sanstha Ltd.,GILB,Active,Microfinance,Equity,info@gilb.com.np,http://www.gilb.com.np
73,Gurans Laghubitta Bittiya Sanstha Limited,GLBSL,Active,Microfinance,Equity,guranslbbs@gmail.com,www.guranslaghubitta.com.np
74,GreenLife Hydropower Limited,GLH,Active,Hydro Power,Equity,nepalgreenlife@gmail.com,www.greenlifehydropower.com.np
75,Ganapati Laghubitta Bittiya Sanstha Limited,GMFBS,Active,Microfinance,Equity,ganapati.micro@gmail.com,www.ganapatimicro.com.np
76,Guheshowori Merchant Bank & Finance Co. Ltd.,GMFIL,Active,Finance,Equity,compliance@gmbf.com.np,www.gmbf.com.np
77,Green Development Bank Ltd.,GRDBL,Active,Development Banks,Equity,info@greenbank.com.np,http://greenbank.com.np/
78,Gurkhas Finance Ltd.,GUFL,Active,Finance,Equity,mukunda@gurkhasfinance.com.np,www.gurkhasfinance.com.np
79,Green Ventures Limited,GVL,Active,Hydro Power,Equity,frontdesk@trivenihydro.com,www.greenventuresnepal.com
80,12 % Goodwill Finance Limited Debenture 2083,GWFD83,Active,Finance,Non-Convertible Debentures,info@goodwill.net.np,https://goodwillfinance.com.np/
81,Himalayan Bank Limited,HBL,Active,Commercial Banks,Equity,legal@himalayanbank.com,https://www.himalayanbank.com
82,10% Himalayan Bank Debenture 2083,HBLD83,Active,Commercial Banks,Non-Convertible Debentures,legal@himalayanbank.com,https://www.himalayanbank.com
83,"Himalayan Bank Limited Bond, 2086",HBLD86,Active,Commercial Banks,Non-Convertible Debentures,legal@himalayanbank.com,https://www.himalayanbank.com
84,Himal Dolakha Hydropower Company Limited,HDHPC,Active,Hydro Power,Equity,hydrohimaldolakha@gmail.com,www.himaldolakhahydro.com
85,Himalayan Distillery Limited,HDL,Active,Manufacturing And Processing,Equity,info@himalayandistillery.com,
86,Himalayan Everest Insurance Limited,HEI,Active,Non Life Insurance,Equity,subindra.shrestha@hei.com.np,
87,Himalayan Hydropower Limited,HHL,Active,Hydro Power,Equity,himalayanhydro2021@gmail.com,www.hhpl.com.np
88,Hydorelectricity Investment and Development Company Ltd,HIDCL,Active,Investment,Equity,jbasnet@hidcl.org.np,www.hidcl.org.np
89,Himalayan Laghubitta Bittiya Sanstha Limited,HLBSL,Active,Microfinance,Equity,info@himalayanlaghubitta.com,www.himalayanlaghubitta.com
90,Himalayan Life Insurance Limited,HLI,Active,Life Insurance,Equity,rajan@primelifenepal.com,
91,Himalayan Power Partner Ltd.,HPPL,Active,Hydro Power,Equity,hpphydro.binaya@gmail.com,http://www.hpp.com.np
92,Himalaya Urja Bikas Company Limited,HURJA,Active,Hydro Power,Equity,himalayaurja@gmail.com,www.himalurja.com
93,ICFC Finance Limited,ICFC,Active,Finance,Equity,nepsereport@icfcbank.com,www.icfcbank.com
94,12% ICFC Finance Limited Debenture 2083,ICFCD83,Active,Finance,Non-Convertible Debentures,nepsereport@icfcbank.com,www.icfcbank.com
95,IGI Prudential insurance Limited,IGI,Active,Non Life Insurance,Equity,compliance@iginepal.com,http://www.iginepal.com
96,Ingwa Hydropower Limited,IHL,Active,Hydro Power,Equity,hydropoweringwa@gmail.com,www.ingwahydropowerltd.com.np
97,Infinity Laghubitta Bittiya Sanstha Limited,ILBS,Active,Microfinance,Equity,ilbslfinance@gmail.com,www.infinitymbsl.com
98,IME Life Insurance Company Limited,ILI,Active,Life Insurance,Equity,info@imelifeinsurance.com,www.imelifeinsurance.com
99,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,JALPA,Active,Microfinance,Equity,info@jalpamf.com.np,www.jalpamf.com.np
100,Jyoti Bikash Bank Bond 2087,JBBD87,Active,Development Banks,Non-Convertible Debentures,krishna.oasti@jbbl.com.np,
101,Jyoti Bikas Bank Limited,JBBL,Active,Development Banks,Equity,krishna.oasti@jbbl.com.np,
102,Jeevan Bikas Laghubitta Bittya Sanstha Ltd,JBLB,Active,Microfinance,Equity,info@jeevanbikasmf.com,www.jeevanbikasmf.com
103,Janaki Finance Company Limited,JFL,Active,Finance,Equity,info@jfcjanakpur.com,
104,Joshi Hydropower Development Company Ltd,JOSHI,Active,Hydro Power,Equity,info@joshihydropower.com,www.joshihydropower.com
105,Janautthan Samudayic Laghubitta Bittya Sanstha Limited,JSLBB,Active,Microfinance,Equity,info@jucbank.com.np,
106,Kumari Bank Limited,KBL,Active,Commercial Banks,Equity,info@kumaribank.com,http://www.kumaribank.com
107,10.25% KBL Debenture 2086,KBLD86,Active,Commercial Banks,Non-Convertible Debentures,info@kumaribank.com,http://www.kumaribank.com
108,11% KBL Debenture 2089,KBLD89,Active,Commercial Banks,Non-Convertible Debentures,info@kumaribank.com,http://www.kumaribank.com
109,Kumari Dhanabriddhi Yojana,KDBY,Active,Commercial Banks,Mutual Funds,info@kumaribank.com,http://www.kumaribank.com
110,Kalinchowk Darshan Limited,KDL,Active,Hotels And Tourism,Equity,darshankalinchowk@gmail.com,www.kalinchowkdarshan.com.np
111,Kumari Equity Fund,KEF,Active,Commercial Banks,Mutual Funds,info@kumaribank.com,http://www.kumaribank.com
112,Khanikhola Hydropower Co. Ltd.,KKHC,Active,Hydro Power,Equity,khanikhola.hpc@gmail.com,
113,Kisan Lagubitta Bittiya Sanstha Limited,KLBSL,Active,Microfinance,Equity,secretorykisanmf079@gmail.com,
114,Kalika Laghubitta Bittiya Sanstha Ltd,KMCDB,Active,Microfinance,Equity,info@kalikabank.com.np,www.kalikabank.com.np
115,Kalika power Company Ltd,KPCL,Active,Hydro Power,Equity,daraudikalikahydro@gmail.com,
116,Karnali Development Bank Limited,KRBL,Active,Development Banks,Equity,info@kdblnepal.com,
117,Kamana Sewa Bikas Bank Limited,KSBBL,Active,Development Banks,Equity,ashok.pudasaini@kamanasewabank.com,https://www.kamanasewabank.com/
118,9% Kamana Sewa Bikas Bank Limited Debenture 2087,KSBBLD87,Active,Development Banks,Non-Convertible Debentures,ashok.pudasaini@kamanasewabank.com,https://www.kamanasewabank.com/
119,Lumbini Bikas Bank Ltd.,LBBL,Active,Development Banks,Equity,hari.subedi@lumbinibikasbank.com,
120,10% Laxmi Bank Debenture 2086,LBLD86,Active,Commercial Banks,Non-Convertible Debentures,piyush.aryal@laxmibank.com,
121,8.5% Laxmi Bank Debenture 2088,LBLD88,Active,Commercial Banks,Non-Convertible Debentures,piyush.aryal@laxmibank.com,
122,Liberty Energy Company Limited,LEC,Active,Hydro Power,Equity,liberty@libertyenergy.com.np,www.libertyenergy.com.np
123,Laxmi Equity Fund,LEMF,Active,Commercial Banks,Mutual Funds,piyush.aryal@laxmibank.com,
124,Life Insurance Corporation (Nepal) Limited,LICN,Active,Life Insurance,Equity,cs@licnepal.com.np,http://www.licnepal.com.np
125,Laxmi Laghubitta Bittiya Sanstha Ltd.,LLBS,Active,Microfinance,Equity,company.secretary@laxmilaghu.com.np,
126,Laxmi Unnati Kosh,LUK,Active,Mutual Fund,Mutual Funds,info@laxmicapital.com.np,www.laxmicapital.com.np
127,Makar Jitumaya Suri Hydropower Limited,MAKAR,Active,Hydro Power,Equity,mjs.hydropower2065@gmail.com,www.mjshydropower.com.np
128,Madhya Bhotekoshi Jalavidyut Company Limited,MBJC,Active,Hydro Power,Equity,admin@mbjcl.com.np,www.mbjcl.com.np
129,Machhapuchhre Bank Limited,MBL,Active,Commercial Banks,Equity,machbank@mbl.com.np,http://www.machbank.com
130,10.25% Machhapuchhre Bank Debenture 2085,MBLD2085,Active,Commercial Banks,Non-Convertible Debentures,machbank@mbl.com.np,http://www.machbank.com
131,8.5% Machhapuchchhre Debenture 2087,MBLD87,Active,Commercial Banks,Non-Convertible Debentures,machbank@mbl.com.np,http://www.machbank.com
132,Menchhiyam Hydropower Limited,MCHL,Active,Hydro Power,Equity,menchhiyam@gmail.com,www.menchhiyamhydropower.com
133,Miteri Development Bank Limited,MDB,Active,Development Banks,Equity,thakuri@miteribank.com.np,http://www.miteribank.com.np
134,Modi Energy Limited,MEL,Active,Hydro Power,Equity,info@modihydro.com,www.modihydro.com
135,Mountain Energy Nepal Limited,MEN,Active,Hydro Power,Equity,rajendra.sharma@mountainenergy.com.np,www.mountainenergy.com.np
136,Mero Microfinance Bittiya Sanstha Ltd.,MERO,Active,Microfinance,Equity,meromicrofinance@gmail.com,
137,Manjushree Finance Ltd.,MFIL,Active,Finance,Equity,info@manjushreefinance.com.np,manjushreefinance.com.np
138,9.5% Manjushree Finance Limited Debenture 2085,MFLD85,Active,Finance,Non-Convertible Debentures,info@manjushreefinance.com.np,manjushreefinance.com.np
139,Molung Hydropower Company Limited,MHCL,Active,Hydro Power,Equity,molung.office@gmail.com,www.molunghydropwer.com.np
140,Mandakini Hydropower Limited,MHL,Active,Hydro Power,Equity,mandakini.hydropower@gmail.com,www.mandakinihydro.com.np
141,Mountain Hydro Nepal Limited,MHNL,Active,Hydro Power,Equity,mountainhydronepal@gmail.com,www.mountainhydronepal.com.np
142,Maya Khola Hydropower Company Limited,MKHC,Active,Hydro Power,Equity,dpshresths@gmail.com,www.mkhpcl.com.np
143,Mai Khola Hydropower Limited,MKHL,Active,Hydro Power,Equity,maikholahydro@gmail.com,https://maikholahydropower.com.np
144,Mailung Khola Jal Vidhyut Company Limited,MKJC,Active,Hydro Power,Equity,mailung.mkjc@gmail.com,www.mailunhkhola.com
145,Manakamana Smart Laghubitta Bittiya Sanstha Limited,MKLB,Active,Microfinance,Equity,manakamanalbs@gmail.com,www.manakamanalbs.com
146,Mithila LaghuBitta Bittiya Sanstha Limited,MLBBL,Active,Microfinance,Equity,mlboperationdepart@gmail.com,http://www.mldbank.com.np
147,Mahalaxmi Bikas Bank Ltd.,MLBL,Active,Development Banks,Equity,listing@mahalaxmi.com.np,http://www.yetibank.com
148,Manushi Laghubitta Bittiya Sanstha Limited,MLBS,Active,Microfinance,Equity,info@manushilbs.com.np,https://www.manushilbs.com
149,Mahila Lagubitta Bittiya Sanstha Limited,MLBSL,Active,Microfinance,Equity,mlbsl.nepal@gmail.com,www.mlbsl.com.np
150,Mega Mutual Fund -1,MMF1,Active,Commercial Banks,Mutual Funds,nepse@megabank.com.np,
151,Mirmire Laghubitta Bittya Sanstha Limited,MMFDB,Active,Microfinance,Equity,info@mirmirebank.com.np,http://www.mirmirebank.com.np
152,Muktinath Bikas Bank Ltd.,MNBBL,Active,Development Banks,Equity,info@muktinathbank.com.np,
153,Muktinath Debenture 2084/85,MND84/85,Active,Development Banks,Non-Convertible Debentures,info@muktinathbank.com.np,
154,Multipurpose Finance Company Limited,MPFL,Active,Finance,Equity,mfclfin43@gmail.com,
155,Mahuli Laghubitta Bittiya Sanstha Limited,MSLB,Active,Microfinance,Equity,saroj.singh@mslbsl.com.np,mslbsl.com.np
156,Narayani Development Bank Limited,NABBC,Active,Development Banks,Equity,info@ndbl.com.np,www.ndbl.com.np
157,Nabil Bank Limited,NABIL,Active,Commercial Banks,Equity,rajesh.bogati@nabilbank.com,
158,Nadep Laghubittiya bittya Sanstha Ltd.,NADEP,Active,Microfinance,Equity,nadeplaghubitta@gmail.com,
159,10.25% NBBL Debenture 2085,NBBD2085,Active,Commercial Banks,Non-Convertible Debentures,bishwapoudel@nbbl.com.np,
160,NABIL BALANCED FUND-2,NBF2,Active,Commercial Banks,Mutual Funds,rajesh.bogati@nabilbank.com,
161,Nabil Balanced Fund-3,NBF3,Active,Commercial Banks,Mutual Funds,rajesh.bogati@nabilbank.com,
162,Nepal Bank Limited,NBL,Active,Commercial Banks,Equity,suresh.ghimire@nepalbank.com.np,
163,10% Nabil Debenture 2082,NBLD82,Active,Commercial Banks,Non-Convertible Debentures,rajesh.bogati@nabilbank.com,
164,Nabil Debenture 2085,NBLD85,Active,Commercial Banks,Non-Convertible Debentures,rajesh.bogati@nabilbank.com,
165,8.5% Nepal Bank Debenture 2087,NBLD87,Active,Commercial Banks,Non-Convertible Debentures,suresh.ghimire@nepalbank.com.np,
166,9.5% NCC Debenture 2086,NCCD86,Active,Commercial Banks,Non-Convertible Debentures,corporate@nccbank.com.np,http://www.nccbank.com.np
167,Nabil Equity Fund,NEF,Active,Commercial Banks,Mutual Funds,rajesh.bogati@nabilbank.com,
168,NESDO Sambridha Laghubitta Bittiya Sanstha Limited,NESDO,Active,Microfinance,Equity,nesdosmfi@gmail.com,https://slbs.nesdonepal.org
169,Nepal Finance Ltd.,NFS,Active,Finance,Equity,info@nepalfinance.com.np,www.nepalfinancelimited.com.np
170,Ngadi Group Power Ltd.,NGPL,Active,Hydro Power,Equity,nyadigroup06@gmail.com,
171,Nepal Hydro Developers Ltd.,NHDL,Active,Hydro Power,Equity,info@charnawathihydro.com,www.charnawatihydro.com
172,National Hydro Power Company Limited,NHPC,Active,Hydro Power,Equity,info@nhpcl.com,
173,10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,Active,Commercial Banks,Non-Convertible Debentures,NIBL.Nepse@nibl.com.np,http://www.nibl.com.np
174,8.5% Nepal Investment Bank Debenture 2084,NIBD84,Active,Commercial Banks,Non-Convertible Debentures,NIBL.Nepse@nibl.com.np,http://www.nibl.com.np
175,NIBL Growth Fund,NIBLGF,Active,Mutual Fund,Mutual Funds,info@niblcapital.com,www.niblcapital.com
176,NIBL Pragati Fund,NIBLPF,Active,Commercial Banks,Mutual Funds,NIBL.Nepse@nibl.com.np,http://www.nibl.com.np
177,NIBL Samriddhi Fund -2,NIBSF2,Active,Commercial Banks,Mutual Funds,NIBL.Nepse@nibl.com.np,http://www.nibl.com.np
178,NIC Asia Bank Ltd.,NICA,Active,Commercial Banks,Equity,nica.nots@nicasiabank.com,
179,10% NIC Asia Debenture 2085/86,NICAD 85/86,Active,Commercial Banks,Non-Convertible Debentures,nica.nots@nicasiabank.com,
180,9% NIC Asia Debenture 2081/82,NICAD8182,Active,Commercial Banks,Non-Convertible Debentures,nica.nots@nicasiabank.com,
181,11% NIC Asia Debenture 082/83,NICAD8283,Active,Commercial Banks,Non-Convertible Debentures,nica.nots@nicasiabank.com,
182,NIC Asia Balanced Fund,NICBF,Active,Mutual Fund,Mutual Funds,info@nicasiacapital.com,www.nicasiacapital.com
183,10.25% NIC Asia Debenture 2083/84,NICD83/84,Active,Commercial Banks,Non-Convertible Debentures,nica.nots@nicasiabank.com,
184,NIC ASIA Rinpatra 2088,NICD88,Active,Commercial Banks,Non-Convertible Debentures,nica.nots@nicasiabank.com,
185,NIC Asia Flexi CAP Fund,NICFC,Active,Commercial Banks,Mutual Funds,nica.nots@nicasiabank.com,
186,NIC Asia Growth Fund,NICGF,Active,Commercial Banks,Mutual Funds,nica.nots@nicasiabank.com,
187,Nepal Insurance Co. Ltd.,NICL,Active,Non Life Insurance,Equity,nic@nepalinsurance.com.np,
188,NIC ASIA Laghubitta Bittiya Sanstha Limited,NICLBSL,Active,Microfinance,Equity,compliance@nicasialaghubitta.com,www.nicasialaghubitta.com
189,NIC Asia Select Fund 30,NICSF,Active,Mutual Fund,Mutual Funds,info@nicasiacapital.com,www.nicasiacapital.com
190,Nepal Infrastructure Bank Limited,NIFRA,Active,Investment,Equity,iswor.gautam@nifrabank.com,https://www.nifrabank.com
191,NIFRA Uraj Rinpatra7%-2085/86,NIFRAUR85/86,Active,Investment,Non-Convertible Debentures,iswor.gautam@nifrabank.com,https://www.nifrabank.com
192,Neco Insurance Limited,NIL,Active,Non Life Insurance,Equity,info@neco.com.np,http://www.necoinsurance.com.np
193,Nepal Investment Mega Bank Limited,NIMB,Active,Commercial Banks,Equity,NIBL.Nepse@nibl.com.np,http://www.nibl.com.np
194,Nerude Laghubitta Bittiya Sanstha Limited,NLBBL,Active,Microfinance,Equity,info@nerude.org.np,
195,NLG Insurance Company Ltd.,NLG,Active,Non Life Insurance,Equity,manoj.shrestha@nlgi.com.np,
196,Nepal Life Insurance Co. Ltd.,NLIC,Active,Life Insurance,Equity,cs@nepallife.com.np,
197,National Life Insurance Co. Ltd.,NLICL,Active,Life Insurance,Equity,it@nationallife.com.np,
198,Nepal Lube Oil Limited,NLO,Active,Manufacturing And Processing,Equity,g.bhattarai@cg.holdings,
199,NMB Bank Limited,NMB,Active,Commercial Banks,Equity,pramod.dahal@nmb.com.np,http://www.nmb.com.np
200,NMB 50,NMB50,Active,Mutual Fund,Mutual Funds,mutualfunds@nmbcl.com.np,www.nmbcl.com.np
201,10 % NMB DEBENTURE 2085,NMBD2085,Active,Commercial Banks,Non-Convertible Debentures,pramod.dahal@nmb.com.np,http://www.nmb.com.np
202,NMB Debenture 8.50% - 2087/88,NMBD87/88,Active,Commercial Banks,Non-Convertible Debentures,pramod.dahal@nmb.com.np,http://www.nmb.com.np
203,NMB Debenture 10.75%-2089/90,NMBD89/90,Active,Commercial Banks,Non-Convertible Debentures,pramod.dahal@nmb.com.np,http://www.nmb.com.np
204,NMB Energy Bond 4% - 2092/93,NMBEB92/93,Active,Commercial Banks,Non-Convertible Debentures,pramod.dahal@nmb.com.np,http://www.nmb.com.np
205,NMB Hybrid Fund L-1,NMBHF1,Active,Commercial Banks,Mutual Funds,pramod.dahal@nmb.com.np,http://www.nmb.com.np
206,NMB Microfinance Bittiya Sanstha Ltd.,NMBMF,Active,Microfinance,Equity,surya.thapa@nmbmicrofinance.com,http://www.cleanvillage.com.np
207,NMB Energy Bond 4% - 2093/94,NMBUR93/94,Active,Commercial Banks,Non-Convertible Debentures,pramod.dahal@nmb.com.np,http://www.nmb.com.np
208,Nepal Reinsurance Company Limited,NRIC,Active,Others,Equity,nepalre@ntc.net.np,www.nepalre.com.np
209,Nepal Republic Media Limited,NRM,Active,Others,Equity,info@nagariknews.com,www.nepalrepublicmedia.com
210,NRN Infrastructure and Development Limited,NRN,Active,Investment,Equity,nrninvestmentltd@gmail.com,www.nrinl.com
211,NMB Sulav Investment Fund - 2,NSIF2,Active,Mutual Fund,Mutual Funds,mutualfunds@nmbcl.com.np,www.nmbcl.com.np
212,Nepal Doorsanchar Company Limited,NTC,Active,Others,Equity,cs.nt@ntc.net.np,www.ntc.net.np
213,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,NUBL,Active,Microfinance,Equity,rbchaudhary@nirdhan.com.np,
214,Nyadi Hydropower Limited,NYADI,Active,Hydro Power,Equity,nhl@nhl.com.np,www.nhl.com.np
215,Oriental Hotels Limited,OHL,Active,Hotels And Tourism,Equity,legal@radkat.com.np,
216,10.15% Prime Debenture 2084,PBD84,Active,Commercial Banks,Non-Convertible Debentures,CS@pcbl.com.np,
217,8.75 % Prime Debenture 2085,PBD85,Active,Commercial Banks,Non-Convertible Debentures,CS@pcbl.com.np,
218,10% Prime Debenture 2088,PBD88,Active,Commercial Banks,Non-Convertible Debentures,CS@pcbl.com.np,
219,10% Prabhu Bank Debenture 2084,PBLD84,Active,Commercial Banks,Non-Convertible Debentures,amit.bhandari@prabhubank.com,
220,10.25% Prabhu Bank Debenture 2086,PBLD86,Active,Commercial Banks,Non-Convertible Debentures,amit.bhandari@prabhubank.com,
